center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
12h19m55.0s,+13d02m36.0s,12h21m15.9s,+12d53m46.3s,3,0,,0,0.0,none
12h20m19.7s,+13d02m36.0s,12h21m40.5s,+12d53m46.4s,4,0,,0,0.0,none
12h20m44.3s,+13d02m36.0s,12h22m05.1s,+12d53m46.5s,5,0,,0,0.0,none
12h21m08.9s,+13d02m36.0s,12h22m29.8s,+12d53m46.5s,4,0,,0,0.0,none
12h21m33.6s,+13d02m36.0s,12h22m54.4s,+12d53m46.6s,4,0,,0,0.0,none
12h21m58.2s,+13d02m36.0s,12h23m19.0s,+12d53m46.7s,2,0,,0,0.0,none
12h22m22.8s,+13d02m36.0s,12h23m43.6s,+12d53m46.8s,2,0,,0,0.0,none
12h22m47.5s,+13d02m36.0s,12h24m08.2s,+12d53m46.9s,2,0,,0,0.0,none
12h23m12.1s,+13d02m36.0s,12h24m32.9s,+12d53m47.0s,3,0,,0,0.0,none
12h23m36.7s,+13d02m36.0s,12h24m57.5s,+12d53m47.1s,3,0,,0,0.0,none
12h24m01.4s,+13d02m36.0s,12h25m22.1s,+12d53m47.2s,3,0,,0,0.0,none
12h24m26.0s,+13d02m36.0s,12h25m46.7s,+12d53m47.3s,3,0,,0,0.0,none
12h24m50.6s,+13d02m36.0s,12h26m11.3s,+12d53m47.4s,3,0,,0,0.0,none
12h25m15.3s,+13d02m36.0s,12h26m36.0s,+12d53m47.5s,2,0,,0,0.0,none
12h19m29.2s,+10d08m36.0s,12h20m50.3s,+09d59m46.2s,3,0,,0,0.0,none
12h26m04.5s,+13d02m36.0s,12h27m25.2s,+12d53m47.8s,0,2,NGC  4402; NGC  4406,0,0.0,none
12h26m29.2s,+13d02m36.0s,12h27m49.8s,+12d53m47.9s,0,2,NGC  4402; NGC  4406,0,0.0,none
12h26m53.8s,+13d02m36.0s,12h28m14.4s,+12d53m48.0s,0,0,,0,0.0,none
12h27m18.5s,+13d02m36.0s,12h28m39.1s,+12d53m48.1s,0,2,NGC  4435; NGC  4438,0,0.0,none
12h27m43.1s,+13d02m36.0s,12h29m03.7s,+12d53m48.2s,0,2,NGC  4435; NGC  4438,0,0.0,none
12h28m07.7s,+13d02m36.0s,12h29m28.3s,+12d53m48.3s,0,2,NGC  4435; NGC  4438,0,0.0,none
12h19m53.6s,+10d08m36.0s,12h21m14.7s,+09d59m46.3s,4,0,,0,0.0,none
12h20m18.0s,+10d08m36.0s,12h21m39.0s,+09d59m46.4s,3,0,,0,0.0,none
12h20m42.4s,+10d08m36.0s,12h22m03.4s,+09d59m46.4s,2,0,,0,0.0,none
12h29m46.3s,+13d02m36.0s,12h31m06.8s,+12d53m48.8s,1,0,,0,0.0,none
12h30m10.9s,+13d02m36.0s,12h31m31.4s,+12d53m48.9s,1,0,,0,0.0,none
12h30m35.5s,+13d02m36.0s,12h31m56.0s,+12d53m49.1s,2,0,,0,0.0,none
12h31m00.2s,+13d02m36.0s,12h32m20.7s,+12d53m49.2s,3,0,,0,0.0,none
12h31m24.8s,+13d02m36.0s,12h32m45.3s,+12d53m49.3s,4,0,,0,0.0,none
12h31m49.4s,+13d02m36.0s,12h33m09.9s,+12d53m49.5s,3,0,,0,0.0,none
12h32m14.1s,+13d02m36.0s,12h33m34.5s,+12d53m49.6s,2,0,,0,0.0,none
12h32m38.7s,+13d02m36.0s,12h33m59.1s,+12d53m49.7s,1,0,,0,0.0,none
12h33m03.4s,+13d02m36.0s,12h34m23.8s,+12d53m49.9s,2,0,,0,0.0,none
12h33m28.0s,+13d02m36.0s,12h34m48.4s,+12d53m50.0s,1,0,,0,0.0,none
12h21m06.8s,+10d08m36.0s,12h22m27.8s,+09d59m46.5s,2,0,,0,0.0,none
12h21m31.1s,+10d08m36.0s,12h22m52.1s,+09d59m46.6s,2,0,,0,0.0,none
12h21m55.5s,+10d08m36.0s,12h23m16.5s,+09d59m46.7s,1,0,,0,0.0,none
12h35m06.5s,+13d02m36.0s,12h36m26.9s,+12d53m50.6s,2,0,,0,0.0,none
12h35m31.2s,+13d02m36.0s,12h36m51.5s,+12d53m50.8s,2,0,,0,0.0,none
12h35m55.8s,+13d02m36.0s,12h37m16.1s,+12d53m50.9s,3,0,,0,0.0,none
12h22m19.9s,+10d08m36.0s,12h23m40.9s,+09d59m46.8s,0,0,,0,0.0,none
12h22m44.3s,+10d08m36.0s,12h24m05.2s,+09d59m46.9s,0,0,,0,0.0,none
12h23m08.7s,+10d08m36.0s,12h24m29.6s,+09d59m47.0s,0,0,,0,0.0,none
12h18m16.5s,+13d08m36.0s,12h19m37.4s,+12d59m46.0s,3,0,,0,0.0,none
12h18m41.1s,+13d08m36.0s,12h20m02.0s,+12d59m46.0s,3,0,,0,0.0,none
12h19m05.8s,+13d08m36.0s,12h20m26.7s,+12d59m46.1s,2,0,,0,0.0,none
12h19m30.4s,+13d08m36.0s,12h20m51.3s,+12d59m46.2s,1,0,,0,0.0,none
12h19m55.1s,+13d08m36.0s,12h21m15.9s,+12d59m46.3s,3,0,,0,0.0,none
12h20m19.7s,+13d08m36.0s,12h21m40.6s,+12d59m46.4s,3,0,,0,0.0,none
12h20m44.4s,+13d08m36.0s,12h22m05.2s,+12d59m46.5s,4,0,,0,0.0,none
12h21m09.0s,+13d08m36.0s,12h22m29.8s,+12d59m46.5s,3,0,,0,0.0,none
12h21m33.7s,+13d08m36.0s,12h22m54.5s,+12d59m46.6s,3,0,,0,0.0,none
12h21m58.3s,+13d08m36.0s,12h23m19.1s,+12d59m46.7s,1,0,,0,0.0,none
12h22m22.9s,+13d08m36.0s,12h23m43.7s,+12d59m46.8s,1,0,,0,0.0,none
12h22m47.6s,+13d08m36.0s,12h24m08.4s,+12d59m46.9s,3,0,,0,0.0,none
12h23m12.2s,+13d08m36.0s,12h24m33.0s,+12d59m47.0s,3,0,,0,0.0,none
12h23m36.9s,+13d08m36.0s,12h24m57.6s,+12d59m47.1s,4,0,,0,0.0,none
12h24m01.5s,+13d08m36.0s,12h25m22.2s,+12d59m47.2s,3,0,,0,0.0,none
12h24m26.2s,+13d08m36.0s,12h25m46.9s,+12d59m47.3s,4,0,,0,0.0,none
12h24m50.8s,+13d08m36.0s,12h26m11.5s,+12d59m47.4s,3,0,,0,0.0,none
12h25m15.5s,+13d08m36.0s,12h26m36.1s,+12d59m47.5s,2,0,,0,0.0,none
12h23m33.0s,+10d08m36.0s,12h24m54.0s,+09d59m47.1s,0,0,,0,0.0,none
12h26m04.8s,+13d08m36.0s,12h27m25.4s,+12d59m47.8s,0,1,NGC  4402,0,0.0,none
12h26m29.4s,+13d08m36.0s,12h27m50.0s,+12d59m47.9s,0,1,NGC  4402,0,0.0,none
12h26m54.0s,+13d08m36.0s,12h28m14.7s,+12d59m48.0s,0,0,,0,0.0,none
12h27m18.7s,+13d08m36.0s,12h28m39.3s,+12d59m48.1s,0,2,NGC  4435; NGC  4438,0,0.0,none
12h27m43.3s,+13d08m36.0s,12h29m03.9s,+12d59m48.2s,0,2,NGC  4435; NGC  4438,0,0.0,none
12h28m08.0s,+13d08m36.0s,12h29m28.6s,+12d59m48.3s,0,2,NGC  4435; NGC  4438,0,0.0,none
12h23m57.4s,+10d08m36.0s,12h25m18.4s,+09d59m47.2s,2,0,,0,0.0,none
12h24m21.8s,+10d08m36.0s,12h25m42.7s,+09d59m47.3s,3,0,,0,0.0,none
12h25m59.3s,+10d08m36.0s,12h27m20.2s,+09d59m47.7s,4,0,,0,0.0,none
12h29m46.6s,+13d08m36.0s,12h31m07.1s,+12d59m48.8s,3,0,,0,0.0,none
12h30m11.2s,+13d08m36.0s,12h31m31.7s,+12d59m49.0s,3,0,,0,0.0,none
12h30m35.9s,+13d08m36.0s,12h31m56.3s,+12d59m49.1s,3,0,,0,0.0,none
12h31m00.5s,+13d08m36.0s,12h32m21.0s,+12d59m49.2s,2,0,,0,0.0,none
12h31m25.1s,+13d08m36.0s,12h32m45.6s,+12d59m49.3s,3,0,,0,0.0,none
12h31m49.8s,+13d08m36.0s,12h33m10.2s,+12d59m49.5s,3,0,,0,0.0,none
12h32m14.4s,+13d08m36.0s,12h33m34.9s,+12d59m49.6s,3,0,,0,0.0,none
12h32m39.1s,+13d08m36.0s,12h33m59.5s,+12d59m49.7s,2,0,,0,0.0,none
12h33m03.7s,+13d08m36.0s,12h34m24.1s,+12d59m49.9s,3,0,,0,0.0,none
12h33m28.4s,+13d08m36.0s,12h34m48.8s,+12d59m50.0s,3,0,,0,0.0,none
12h26m23.7s,+10d08m36.0s,12h27m44.6s,+09d59m47.8s,4,0,,0,0.0,none
12h26m48.1s,+10d08m36.0s,12h28m08.9s,+09d59m48.0s,1,0,,0,0.0,none
12h27m12.5s,+10d08m36.0s,12h28m33.3s,+09d59m48.1s,1,0,,0,0.0,none
12h35m07.0s,+13d08m36.0s,12h36m27.3s,+12d59m50.6s,0,0,,0,0.0,none
12h35m31.6s,+13d08m36.0s,12h36m51.9s,+12d59m50.8s,1,0,,0,0.0,none
12h35m56.2s,+13d08m36.0s,12h37m16.5s,+12d59m50.9s,2,0,,0,0.0,none
12h27m36.9s,+10d08m36.0s,12h28m57.7s,+09d59m48.2s,1,0,,0,0.0,none
12h28m01.2s,+10d08m36.0s,12h29m22.1s,+09d59m48.3s,0,0,,0,0.0,none
12h28m25.6s,+10d08m36.0s,12h29m46.4s,+09d59m48.4s,0,0,,0,0.0,none
12h18m16.5s,+13d14m36.0s,12h19m37.4s,+13d05m46.0s,2,0,,0,0.0,none
12h18m41.2s,+13d14m36.0s,12h20m02.1s,+13d05m46.0s,5,0,,0,0.0,none
12h19m05.8s,+13d14m36.0s,12h20m26.7s,+13d05m46.1s,4,0,,0,0.0,none
12h19m30.5s,+13d14m36.0s,12h20m51.3s,+13d05m46.2s,3,0,,0,0.0,none
12h19m55.1s,+13d14m36.0s,12h21m16.0s,+13d05m46.3s,0,0,,0,0.0,none
12h20m19.8s,+13d14m36.0s,12h21m40.6s,+13d05m46.4s,1,0,,0,0.0,none
12h20m44.4s,+13d14m36.0s,12h22m05.3s,+13d05m46.5s,3,0,,0,0.0,none
12h21m09.1s,+13d14m36.0s,12h22m29.9s,+13d05m46.5s,3,0,,0,0.0,none
12h21m33.7s,+13d14m36.0s,12h22m54.6s,+13d05m46.6s,2,0,,0,0.0,none
12h21m58.4s,+13d14m36.0s,12h23m19.2s,+13d05m46.7s,0,0,,0,0.0,none
12h22m23.1s,+13d14m36.0s,12h23m43.8s,+13d05m46.8s,0,0,,0,0.0,none
12h22m47.7s,+13d14m36.0s,12h24m08.5s,+13d05m46.9s,2,0,,0,0.0,none
12h23m12.4s,+13d14m36.0s,12h24m33.1s,+13d05m47.0s,2,0,,0,0.0,none
12h23m37.0s,+13d14m36.0s,12h24m57.8s,+13d05m47.1s,4,0,,0,0.0,none
12h24m01.7s,+13d14m36.0s,12h25m22.4s,+13d05m47.2s,3,0,,0,0.0,none
12h24m26.3s,+13d14m36.0s,12h25m47.0s,+13d05m47.3s,4,0,,0,0.0,none
12h24m51.0s,+13d14m36.0s,12h26m11.7s,+13d05m47.4s,4,0,,0,0.0,none
12h25m15.6s,+13d14m36.0s,12h26m36.3s,+13d05m47.5s,3,0,,0,0.0,none
12h28m50.0s,+10d08m36.0s,12h30m10.8s,+09d59m48.5s,0,0,,0,0.0,none
12h29m14.4s,+10d08m36.0s,12h30m35.2s,+09d59m48.7s,0,0,,0,0.0,none
12h29m38.8s,+10d08m36.0s,12h30m59.5s,+09d59m48.8s,1,0,,0,0.0,none
12h26m54.3s,+13d14m36.0s,12h28m14.9s,+13d05m48.0s,1,0,,0,0.0,none
12h27m18.9s,+13d14m36.0s,12h28m39.5s,+13d05m48.1s,0,0,,0,0.0,none
12h27m43.6s,+13d14m36.0s,12h29m04.2s,+13d05m48.2s,1,0,,0,0.0,none
12h28m08.2s,+13d14m36.0s,12h29m28.8s,+13d05m48.3s,1,0,,0,0.0,none
12h30m03.1s,+10d08m36.0s,12h31m23.9s,+09d59m48.9s,2,0,,0,0.0,none
