center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
13h32m02.4s,+01d30m00.0s,13h33m23.6s,+01d21m51.1s,27,0,,0,0.0,none
13h30m02.3s,+01d30m00.0s,13h31m23.6s,+01d21m49.3s,22,0,,0,0.0,none
13h28m02.3s,+01d30m00.0s,13h29m23.6s,+01d21m47.5s,25,0,,0,0.0,none
13h26m02.3s,+01d30m00.0s,13h27m23.5s,+01d21m45.8s,28,0,,0,0.0,none
14h28m03.5s,+01d30m00.0s,14h29m24.6s,+01d22m56.3s,38,0,,0,0.0,none
14h26m03.5s,+01d30m00.0s,14h27m24.6s,+01d22m53.5s,30,0,,0,0.0,none
14h24m03.5s,+01d30m00.0s,14h25m24.5s,+01d22m50.7s,31,0,,0,0.0,none
14h22m03.4s,+01d30m00.0s,14h23m24.5s,+01d22m48.0s,33,0,,0,0.0,none
14h20m03.4s,+01d30m00.0s,14h21m24.5s,+01d22m45.3s,32,0,,0,0.0,none
14h18m03.3s,+01d30m00.0s,14h19m24.4s,+01d22m42.7s,36,0,,0,0.0,none
14h16m03.3s,+01d30m00.0s,14h17m24.4s,+01d22m40.0s,36,0,,0,0.0,none
14h14m03.2s,+01d30m00.0s,14h15m24.4s,+01d22m37.4s,32,0,,0,0.0,none
14h12m03.2s,+01d30m00.0s,14h13m24.3s,+01d22m34.9s,29,0,,0,0.0,none
14h10m03.2s,+01d30m00.0s,14h11m24.3s,+01d22m32.4s,35,0,,0,0.0,none
14h08m03.1s,+01d30m00.0s,14h09m24.3s,+01d22m29.9s,38,0,,0,0.0,none
14h06m03.1s,+01d30m00.0s,14h07m24.2s,+01d22m27.4s,27,0,,0,0.0,none
14h04m03.0s,+01d30m00.0s,14h05m24.2s,+01d22m25.0s,16,0,,0,0.0,none
14h02m03.0s,+01d30m00.0s,14h03m24.2s,+01d22m22.6s,25,0,,0,0.0,none
14h00m03.0s,+01d30m00.0s,14h01m24.1s,+01d22m20.2s,34,0,,0,0.0,none
13h58m02.9s,+01d30m00.0s,13h59m24.1s,+01d22m17.9s,32,0,,0,0.0,none
13h10m06.7s,-17d00m00.0s,13h11m31.7s,-17d08m26.7s,34,0,,0,0.0,none
14h56m04.1s,+01d30m00.0s,14h57m25.1s,+01d23m38.6s,27,0,,0,0.0,none
14h54m04.1s,+01d30m00.0s,14h55m25.1s,+01d23m35.4s,35,0,,0,0.0,none
14h52m04.0s,+01d30m00.0s,14h53m25.0s,+01d23m32.2s,28,0,,0,0.0,none
14h50m04.0s,+01d30m00.0s,14h51m25.0s,+01d23m29.1s,30,0,,0,0.0,none
14h48m03.9s,+01d30m00.0s,14h49m25.0s,+01d23m25.9s,35,0,,0,0.0,none
14h42m03.8s,+01d30m00.0s,14h43m24.9s,+01d23m16.7s,24,0,,0,0.0,none
14h40m03.8s,+01d30m00.0s,14h41m24.8s,+01d23m13.7s,20,0,,0,0.0,none
14h38m03.7s,+01d30m00.0s,14h39m24.8s,+01d23m10.7s,25,0,,0,0.0,none
14h36m03.7s,+01d30m00.0s,14h37m24.7s,+01d23m07.8s,31,0,,0,0.0,none
14h34m03.7s,+01d30m00.0s,14h35m24.7s,+01d23m04.8s,27,0,,0,0.0,none
14h32m03.6s,+01d30m00.0s,14h33m24.7s,+01d23m02.0s,32,0,,0,0.0,none
13h05m06.7s,-19d30m00.0s,13h06m31.9s,-19d38m30.1s,29,0,,0,0.0,none
14h10m53.0s,-19d30m00.0s,14h12m21.5s,-19d37m26.5s,41,0,,0,0.0,none
14h08m45.7s,-19d30m00.0s,14h10m14.1s,-19d37m29.2s,39,0,,0,0.0,none
14h06m38.4s,-19d30m00.0s,14h08m06.7s,-19d37m31.8s,42,0,,0,0.0,none
14h04m31.1s,-19d30m00.0s,14h05m59.3s,-19d37m34.4s,45,0,,0,0.0,none
14h02m23.8s,-19d30m00.0s,14h03m51.9s,-19d37m36.9s,44,0,,0,0.0,none
14h00m16.5s,-19d30m00.0s,14h01m44.5s,-19d37m39.4s,34,0,,0,0.0,none
